ID,review,label,,
38,Ustad Bare Ghulam Ali Khan ne mosiqi ke tamam raz Master Inayat Hussain par wa kar deye aur un ki khososi tawajah ne Master Inayat Hussain mein ese roshni paida ki jis ka izhar unhon ne apni filmi mosiqi mein is tarah kiya ke un ke banaye howae geet amar ho gaye aur aaj bhi sune walon ke kanon mein ras gholte hain,1,,
39,Maza ata hy,1,,
40,Pehlay Pagal Kiya Aur Phir Mujhay Pathar Maaray ,2,,
41,Wo lrki kitni buri lg rhi he na red dress me😂😂😂,2,,
42,Jis ka aik song is qadar maqbool hua tha ke is ke bolon ki bazagisht aaj bhi suni ja sakti hai,1,,
43,Wesay to Pemra ko srif PTI hi nazer ati hai baqi jo merzi kro.,2,,
44," PM k sath her waqt military sectory hota hai jiska rank Lft.hota hai sath ssg commandos hotay hain,yeh kia bakwas ker rahi hai,,our PM business class main nahi First class main travel kerta hai...sasti shuhrat k liay",2,,
45,Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,1,,
46,Is tarikhi waqeye ne khawateen ki duniya badal di,1,,
47,      Wo muqaddar ka sikander�?Janemann kehlaega�?1,,,
48,Ban karo haram khor ko,2,,
49,Mere liye wo yadgaar lamhaat the aur us film ko kabhi nahi bhula sakta,1,,
50,yehi youth hi tou PTI ki taqat hy.,1,,
51,Lakhtee LAANAT ZOOG,2,,
52,Log Gariyaan Band Ker K Be Bus Kharay Hein ,2,,
53,Kabhi jao kpk pata chal jayega,2,,
54,Hmari halat next lvl buri thi,2,,
55,Un ki dardmandi ka andaza is baat se lagaya ja sakta hai ke dehshat gardi ke waqeyat aur mukhtalif hadsat mein halak hone walon ke bkhire aza ko mutadid martaba unhon ne apne hathon se yakja kiya.,1,,
56,haan haan chor kabhi khud ko chor kehta ha..xD,2,,
57,Ye bik gaye hay auntie ,2,,
58,new episode nhi arhi q ? :(,2,,
59,Rana sahb ko mashwra hai is team ko baech kar maronda le lain....mun to mitha kary ga kam se kam,2,,
60,Allah App ko app ke naslo ko apny khazano say nawazay,1,,
61,Aisee h hai Allah Paak ki rehmat.........infinite,1,,
62,...m tuje intahi kutti post p mention krny lgti ..pr pta ni galt btton q db jaty hn.,2,,
63,"ap sab in sha ALLAH duaon main shamil hain,,",1,,
64,o bhai tumhri post par gandi link dt hai kisi ny ude delete kro,2,,
65,Hahaha mere choty veer in baton ka hi ma uper zikar kar raha hon.,1,,
66,Kia horaha hai es mulq ka afsos,2,,
67,lol is page waly ki DP dekh or bat kia karaha yeh ,1,,
68,1994 mein wo senate Peters Burg ke deputy mayor ban gae.,1,,
69,Isi kamiyabi se mutassir ho kar Steven Spielberg ne film Close Encounter banai  jis ne box office par acha business kiya,1,,
70,Ubqari k adwiyaat khany se mil jaye ga anmool khazana,1,,
71,Is me ihtijaj ki kia baat he. Ye Islami Mulk he Yahan par baghair kisi Ihtijaji k aise programe ki ijazat kis ne di he.,2,,
72,Aapsay baat karne ka koi faidaa nahe. You win.,2,,
73,Achi heat hai,1,,
74,Larki Ne Vote Ki Bajaye CNIC Box Mein Dal Dia ,2,,
75,Ap Sb Ki Shirkat Ka Shukrya ,1,,
76,Jnb ap writen likh sakty han ap Authority wise Afsar han showcase letter jari kar datay Allah pak Ny ap ko Izat di h or ak Acha Rutba dia h but apny Mulazim ki kisi k Samny Insert karna Galat h,2,,
77,national games aur national championship jese muqablon tak mein saholaton ka mayar intehai kharab hai,2,,
78, In ke walid ne is ki naqool apne doston mein taqseem ki aur aik copy nizaam Hyderabad ko bhi bheji,1,,
79,super match,1,,
80,mere hotay huay tumhen aur koi chahiye bhi nahi...:D,2,,
81,Khabees is a gold digger ..i have always thought about it and today she has proved it😉,2,,
82, 14 November ko police nay inhein giraftar karliya,2,,
83,Kiya seriously Pakistani awam ya Pakistan kashmirino ko own b karti hai ya phir bus Punjab he Pakistan??,2,,
84,Phele inter schools aur inter colligate muqablon mein schools aur colleges ke talba aur talibat ki aik bari tadad sharik hoti thi ab y tadad ungliyon par gini ja sakti hai,2,,
85,Masha AllahAllah aap KO lambi Umar de,1,,
86,Aain aur mazhab mein khawateen ko jo hoqoq deye gaye hain un se Majida Rizvi pori tarah mumain hain.,1,,
87,Back ground song awla ha,1,,
88,Jab ke inho ne test mein 2 aur one day mein bhi 2 hat ricks ki hain,1,,
89,Lahore Qalandars Very good 2019,1,,
90,Karachi Me Aashura K Mauqay Per Mukammal Aman Raha ,1,,
91,Jab un Ko he esmbly may Lana hai tu hindustan say Pakistan bananay Ka kia mathlab Howard?,2,,
92,Mashalla allha pak slamat rakhy ameen ameen,1,,
93,Dushmn 😂🙌,2,,
94,Zalzly Se Mutsera District Nazim K Apny U C me Koi Pursan e Hal ni ,2,,
95,Imran khan nay  kaha kay in ki zindagi aur Karachi mein tehrek-e-Insaf kay karkun ki zindagi khatra lahaq hai khun kay Britannia hukumat  nay Muttahida Qaumi Movement  kay London mein muqeem quaid Altaf Hussain kay  khalaf  qadam nahi uthaya jis say ye log shair  ho kar tashadut  ki karwai kar saktey hain,2,,
96,Sher Aa Nhe Raha Agya Hy Lahore Ne ilzam aur Gaali ki Siasat Mustrad kr Di Maryam Nawaz ,2,,
97,lannat ko ese insan pe,2,,
98,Baita yai lov tu ny wrong side lga lia😂😂😂,2,,
99,"Sonal Chauhanne Telugu film industry se umeedein wabasta kerty huey LEGEND naami film sign ker li hai jis ki aksbandi in dino tezi ke saath ho rahi hai jab ke ANTHONY DE SOZA ne bharti film BLUE ke sequel ASMAN mein AKSHAY KUMAR, KATREENA KAIF, ZAHID KHAN,SUNJAY DUTT,LARA DUTTA aur JOHN ABRAHAM ke saath ehm role mein cast kiya hai",1,,
100,jaan Nikal di yaar ,2,,
101,"buhat acha hai yeh item , me use karunga",1,,
102,tmhare lye best haekrle shadi ,1,,
103,Walid se in ki qurbat aur wabistagi bohat gehri thi,1,,
104,Jab film walon ne Iqbal Bano ki classical awaaz suni to in se rujoo kiya aur film ke liye gaane ki baqaida dawat di,1,,
105,Aitmaad Na Karo ,2,,
106,Majboriyun ka sahara le kr chor jany waly aksar bewafa hoty hain.,2,,
107,October 1959 mein unhain U.N.O mein Pakistani wafad ka quaid bana ker bhaja gai to Zulfiqar Ali Bhutto nay Russia aur America ki taraf say takhfife aslaha ki tajaweez kay silsilay mein Pakistani moqif bohot khubsurti say pesh kiya,1,,
108,Boht he aala,1,,
109,Saudi Company Ne 250 Arab Me National Power Construction Corporation Khareed Li Steel Mills Aur PIA Ki Nijkari Bhi Hogi Hukomat ,2,,
110,Bahawalpur mein bhi Ahmed Faraz Fun aur Shakhsiyat ke unwaan se PhD ka maqala tehreer kiya gaya,1,,
111,Sada muskaraty rhn g,1,,
112,abay saloo ya hota ha scha piyer,1,,
113,Apne career ke mustaqbil ka faisla wo taleem mukammal hone ke bad he karega,1,,
114,Bilkul....zindagee k achay sathee mai yahi hna chhahiyay...ikhlas..imaan....,1,,
115,Love LQ uncondtionly ...,1,,
116," Siyasi, samaji aur iblaaghi halqon ki janib se miss Haseena Wajid ko yeh mashwara diya ja raha hai ke wo apna zehni muaaiyna karaey, kyun ke jis qisam ki siyasi inteqami policy inho ne apna rakhi hai wo kisi bhi soorat mien mulk o qaum ke mafaad mien nahi hai",2,,
117,Sohrab Goth Mein Ka Bais 50 Saala Shaks Intaqal Kar Giya ,2,,
118,Good...,1,,
119,Maa shaa ALLAH tasbih khane ky wazif lajawb ha.,1,,
120,koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,1,,
121,"Walikum As salam
Besahak
Ap ko bhi Jumma mubarak",1,,
122,this is your eid ,1,,
123,Nai nai acha lag rha h pic lo in see phr Ami Je se pocho,1,,
124,Khusre ko band karo fori. Ye bohat chawl ha,2,,
125,Faiz Ahmed Faiz ka inteqal 20 November 1984 ko Lahore mein hua,2,,
126,Tujy tu ya pata nae ho gy ky 2sajdo ky darmya ky par ty hain? Ya ajj wo be dkh ly?          !      !        ,2,,
127,Acha tell me yeh itnay baray baray jalsay joKarta hai woh pesa kahan sey ata hi ? Zakkat khata hai yeh gareebon ki hospital ko jo milti hai,2,,
128,Eman or amaal wali zindge k liye duaon ki darkhast hy,1,,
129,"Aik interview mein inho ne kaha tha, mujhe shohrat nahi gumnami chahiye",1,,
130,kia bat hai g apki,1,,
131,Hum kaam se gaye thy phir kaam se gaye ,1,,
132,Physical appearance pe comment krne se guraiz kren.,2,,
133,Agar ap muslem hyn to ap ko khud pata ho ga k kahan bandna h ghar Muslim mazaq hi urain gy in ki samj sy uopar h,2,,
134,Jis ke bad film Bus Stop mein in ki dramatic acting ko naqadon ne bohat saraha aur Marilyn golden globe award ke liye nominate hui,1,,
135,in belts ki quality behtar thi mjhe inki quality se koi shikayat nahi hai.. achi munasib quality hain in belts ki aur size b sahi aya hai.. main is se tw mutmaeen hoon aur koi complain nahi mjhe is se. roz use b kar rha hoon,1,,
136,you are not kamyaaab abhi 😂,2,,
137,Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,1,,
138, Sirf 28 saal ki umer mein 1921 mein Bengal qanoonsaaz council ke member bane aur apne auhdon par faiyz reh kar aap ne musalmano ke mafadaat aur huqooq ki khatir kisi na kisi satah par zaroor kaam kiya,1,,
139,sharam to a rahi ho ge?😂😂😂,2,,
140, Khan family ne Squash per taweel hukumat ki hai aur yeh kahna baja hoga ke unhon ne Squash ki tareekh ko apne haton se likah hai,1,,
141,Allah kray doctor afia sadiqi pakistan aye refrendom ho aor doctor afia sadiqiWazeer a Azam bnay Ameen,1,,
142,Haniya Khan.,1,,
143,Aj kal hmri govt esi ha k inki wja sy educated log byrozgar bethy hain,2,,
144,pyaar hai voh,1,,
145,Tym nikal k milo..logo ko judge krna h😅,2,,
146,Khi Me Aaj Rat 12 Baje Se Motorcycle Ki Double Sawari Per 3 Din K Lye Pabandi Hogi ,2,,
147,Sindh Main Teer Nay Mokhalifin Ko Chalni Kardia,2,,
148,Allah lambi zindagi or sehat ata farmaye.,1,,
149,Bari e koi chwl orat ho tum 😂😂😂😂,2,,
150,Guzishta saal December tak naye stadiums ki tameer aur purane medanon ki tazeen o araish  ke leye Brazil Football Assosiation aur Brazilian hukumat ne 3.7 Billion Dollor ke akhrajat ka takhmina lagaya tha,1,,
151,Lala is Great Man and Lion....,1,,
152,Allah hamain Hajj ki sadat ata kary Ameen,1,,
153,hahaha bilkul perfect naqsha khencha,1,,
154,Ye ilzam hau muj masoom pe :(,2,,
155,Bilkul InshaAllah beshk Allah har chez pe qadeer hain... ap yakeen se tobha krain... wohi to hain muaf krne waly...,1,,
156,Saanp ka kaam Zahar ugalna hi hai. ,2,,
157,Masha Allah huma huma ap pyare,1,,
158,Dr Asim Ki University Or Hospital Ka Record Talab Ker Lia ,2,,
159,allah pak janatul firdus main alla maqam day ameen,1,,
160,Mashi mushkilat ne un ke khandan ko ghere mein le liya tha,2,,
161,"2001 mein Parvez Musharraf ki aamriyat ke afriyat ne farzand jamhoriyat ke samne mou phara, daraya, dhamkaya, mukhtalif bahanon se rah-e-rast se hatane ki koshish ki",2,,
162,Hum Khud Ko Bhool Bethay Tujhe Yaad Krte Krte ,2,,
163,Main nevan mera Murshid ucha ,1,,
164,Allah Ya Allah madad ,1,,
165,G new type ka drama hai,1,,
166,ye muqtada to nehayat he chawal kisam ka insan lgta hje,2,,
167,Aap ki yehi salahiyat 1937 mein aap ko Islamia College ke magazine �EEE€�EEEcrescent�EEE€�EEE ka naib mudeer banwane meinmadadgar sabit hoi,1,,
168,Hazarat sab salam dua m yad rakhyiga,1,,
169,Allah pak tasbeeh khane ko qyamat tak abad rakhe.AMEEN,1,,
170,Aap ko phir buhat ghussa ayya k ye jo teacher party hai wo bachoon ko ghalat ratte marne ki training de rahe hain.,2,,
171,Bohat khub,1,,
172,Lol thank you so much ,1,,
173,Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,1,,
174,Jitna zoor laga loo result 0 hi ho ga tum loog azmay howay jawarri hoo,1,,
175,fabiha ki overactng check kro jaise sbse pakeza h 😜,2,,
176,Kaash hum b parhay likhay hotayKabhi likhtay gulbadanKabhi likhtay Gulfeezan,2,,
177,Nawab Zehri Balochistan Ke Aainda Wazir e Ahla Honge Tawaqu Hai Nawab Zehri Blochistan Me Amn Ke Qiyam Ko Yaqini Banainge,1,,
178,Pakistan team mein hone wali baghawaton ka zikar karen to baat gol kar jayen ge,1,,
179,1985 mein hukumat e Pakistan ne un ki ala fani khidmaat ke atiraf mein unhen Pride of Performance ke award se nawaza,1,,
180,Wazair E Dakhla 15 Din Kisi Ki Hirast Mein Rahe To Woh Bhe Her Juram Qabol Karen Ge Khursheed Shah,2,,
181,Is leye kuch hazrat ke nazdek un ki tehrirein mazamin ke bajaye taqrir kehlane ki mustahiq hain,1,,
182,Ro dil bar k roo.salman pe.qandous mein to terrorist maray gaye hein.,2,,
183,Indian bollywood ko dekhny per pabandi llagaye jaye. Masla hollywood aur bollywood se hi shuru howa hy .,2,,
184,Dil k under kia hai woh Allah he junta hai. ... Alzam Trashi say Baz Rahoo Yeh b eik guna hai.....,2,,
185,ALLAH in ko tabha o barbad kry jo me molawes he,2,,
186,Raat ko Panjwani sahab k hath aik marker bhi lag gaya jis se wo sotay huway logon ki shakloon (?????) per khakay (????) bana kar purlutf (?????) hotay rahay.,1,,
187,Saas ny sara ilzam biya pe lga dea h k uski wja se usky bety k sth aesa hua,2,,
188,Ghazi mumtaz ko shaheed krny waly jannati hain Kia?,2,,
189,"Achay size ka fridge hai, kamre mein bara acha lagta hai, aur iskay dual temperature mechanism bhee pasand aaya. Freezer mein jamaa de cheezon ko, aur fridge mien achee cooling maintain kare, aur yeh to energy efficient bhee hai. :)",1,,
190,Allah salamat rrakhy,1,,
191,Pakistan ki team ki coaching to wo saal hasaal karte rahe lekin 2 seasons mein Intikhab Alam ne Bharati Punjab team ki coaching ki,1,,
192, Maha pura Gaana hai tum ko pasand aiga,1,,
193, Jab un ka jism mila to tab bhi un ki gun un ke sene se lagi hoi thi,1,,
194,Bohat mazy ka yr mode fresh ho jata h,1,,
195,qsmyyy ghunny maisny 😂😂😂,2,,
196,ye wo mard e mujahid hy es time govt ki traf sy pabandi ti net cafe open rakny ki or ye time namaz taraveh ka ta bsss rs bhai jaan ko gussa aya or akar sab ki wart laga d,2,,
197,Itni khubiya,1,,
198,Ye ni dikhana chaye thaDanial zafar bc,2,,
199,laila tul jaiza mubarik,1,,
200, Unho ne Haji Sir Abdullah Haroon ke sath mil kar Sindh ki Bombay se alehdgi ke liye kaam kiya,1,,
201,5 saal baad.. Jab apki job achi hogi ... 2 Larkiyon k rishtay ayein gy ... czns k.. par Ap bahir kru gy,1,,
202,Allah rehm kre behn per,1,,
203,MashaAllah sada geo,1,,
204, Iss tehreek ki kamyabi par inhein aur sathiyon ko kai bar tashadud ka nishana banaya gaya aur paband slasal kiya gaya,2,,
205,Agr 20 din bhi compaign kr lety to ap ne jeet jana tha Bro..,1,,
206,Bas mujhe yehi darr tha ke kya main is role ko kar paonga,2,,
207,"Buhat acha laga, mein again use karunga.",1,,
208,Hamain bas karna chahiye.Logo ke DM aarahe hai ke binzi ko rolna band karo,2,,
209,Allah in ko lambi Zindagi dy,1,,
210,Mehdi Hassan ka geet “ranjish hi sahi dil hi dukhane ke leye aa�?aur �?ik sitam aur meri jan abhi jan baqi hai�?aaj bhi suniye to dil udas ho jata hai,2,,
211,Margyi ok.,2,,
212,tum na paida hti to kya hta mra,1,,
213,Purani Subzi Mandi Main PTI JI Aur MQM Kay Mabain Tasadam Rangers Jaye Waqua Per Pohanch Gayi,2,,
214,Aap ki zuban aap ki shkhsiyat aur khandan ka pta deti hai,2,,
215,Edhi center mein 1952 se qaim shudah jhula project ka charge bhi unhon ne bakhubi sanbhala.,1,,
216,Or pathar khaya tou agay wada bhi kiya ke pani dega sabko .,2,,
217,yani hum dono kamyab hain 🤣🤣,1,,
218,Bohat ehtajaj krengy ,2,,
219,g miss wohi hai same to same ,2,,
220,Bakwas jo dakhnay mai hai wesi bilkul nahi.. main ne khud lee hai lahore k address pay deliver hoi hai.. aor farig presented..,2,,
221,2 Nafs K Khilaf Jihad Karna JIHAD E AKBAR Hai ,1,,
222,Jessey aap tu islam k bohot barey aalam hain log aap se fatwa leney aatey hain,2,,
223,Kisi ne shayad sach he kaha hai�?�?Iqtedar ki kursi par gond laga hota hai�?�?2,,,
224,"Kia me itni buri hun k tum mug se ""asrati"" piar karo.",2,,
225,dekhlo ye mzaq Nahi... ,2,,
226,K Apni Maa k Qadmo k Nishan Dhondh Raha Ho ,1,,
227,:P nai to kya aAp ne unhay dartu samjha ha jo safe guard se hath dho k pEechay par gay ho us k :D,2,,
228,k is kuuti k bache ki qeemat bs ak seat thi iska tu naak b kutte jesa shakal b kutte jesi aur kertot b kutte jese. ,2,,
229,Aj toh hud he ho gyi na mtlb,2,,
230,best candidate koa nhn mil rahaa aap kea workers koa nhn aap kea p.t.i keaa tickes bhi chooron koa lootoon koa mil rhea hean,2,,
231,Husband k sath rhenay ki dua kar dain please,1,,
232,"September 2010 mein Salman Khan ko us waqat shaded tanqed ka samna karna para, jab unhon ne mumabi hamla case ke bare mein aik interview mein ye kaha ke is mamle par itna shor is leye machaya ja raha hai ke is bar hamla ashrafiya par howa aur five star hotels ko nishana banaya gaya",2,,
233,AGR ap bhi syasat karny lagy ho to log mayous hojaengy,2,,
234,Mari baitiyon k Naik naseeb k Lia dua kerien,1,,
235,Usey bhi report kaeu pemra par,2,,
236,Reporter bari khubsurat thi agar munh na kholti.,2,,
237,"Master Inayat Hussain ne ghair filmi ghazalen aur geet bhi compose kiye jin mein Inayat Hussain Bhatti, Munawar Sultana, Malka e Pukhraj,Dilshad Begum aur Malka e mosiqi Roshan Aara Begum ne awaza ka jadu jagaya",1,,
238,O biju ke oulad.,2,,
239,naughty boy! Bhalla corruption karre chup kar k. Ye gande kam kyun karta hei!,2,,
240,phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,1,,
241,Jo Aurat Gair Mard Par Apni Zinat Zaahir Karne ke Liye Daman Ghasite,2,,
242, 3 saal ki umer mein inho ne French language aur piano bajane ki classes mein admission le liya tha,1,,
243,ye dekh kr mjhe tu kyun yaad ayi 😂😂,2,,
244,Inshala sir hm aen gy,1,,
245,Hazrat ji Dua kijiye...inamulhasan,1,,
246, Hindustan ke mukhtalif alaqon mein na sirf Pakistan ke naam se tanzemein qaim huein balke “Pakistan�?ke naam se akhbarat o jaraed bhi jari kiya gaya,1,,
247,Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,1,,
248,ap deen ko pakistan ki ismbli ma nai bacha saky or hindo tu hin kafir Allah imaan da in ko jin ka pora molk muslim hin uno na kya kr leya ,2,,
249,Y Kinza naam ki kuriyan esii hi hotii hen bhooti choose hoe amb wargii ho phir b attitude satwen asmaan pe,2,,
250,Stop sahir bakwas show,2,,
251, antiii bhaii full gussy m h,2,,
252,.Hum miss rubina ko chkma dia krty thy :-D,2,,
253,ajeb sanjidgi ory.......... bri be his se lrki hn,2,,
254,3 he bewaqof,2,,
255,Douaun ki iltaja hy,1,,
256,Meri trf se tere liye ,1,,
257, Hukumat ne sugar mil malikan ko qematein kam karne par majbor nahi kiya balke neb ne tehqiqat karana chahi to Sadar Perviz Musharaf ke humum par ise bhi rok deya gaya kyun ke is mein ba asar hukumati ehalkar mulavis the aur Wazirati kursiyon par barjaman the,2,,
258,Bas galat vote na daal dena mulk ka sawal ha,1,,
259,"Actress Laila ne kuch arsey qabal Lahore mien aik comedy serial ke Pilot mien hissa liya, magar wo dobara shuru na ho saka",2,,
260,Thank you for your support,1,,
261,har fankar ko create ya recreate kana parta hai,1,,
262,Farhan ap or bhi aisa hi dramas ma kam kerya,1,,
263,Awwlaaa asees ma ny pehly audio suni thi alhamra ma ub video b bht achay,1,,
264,Hahah pitwaye ga kia,2,,
265,Dikhaty kuch hn or send kuch or krty hn,2,,
266,Baari ap to famous ho gai hain �?1,,,
267,Main samajhta hunk e khilariyon ko PIA ya mukhtalif banks aur degar idaron mein mulazimat mile to phir squash ka kheel aur tezi se taraqi kare ga,1,,
268,"January mein hazara market ke bomb blast 4 Edhi razakaar shaheed, 5 zakhmi hue, jab ke 5 Edhi ambulance mukammal taur par tabah ho gai.",2,,
269,Jani par jo unho nay samjhaya wo to men samjhny bhe nhn aya :p,2,,
270,Hahah Waqi patwario mein koi aql nhi,2,,
271,Jacket ki quality achi nahi hai,2,,
272, infinite tmhai bara araha tha na,2,,
273,Seriously..Dr.Mussadiq Iqbal to hain hi great.baki eye walo k lye to ye video bani hai.,1,,
274,tujhy to koi btany wala ii nae,2,,
275,.....Sony say phly shukr adda kya kro ....hunhhh kbi ghror nae kya hum NY,2,,
276,In sub qawaneen ki khilaf warziyan tu imran Roxana karta rehta hay.,2,,
277,Na koi Tmhy Mot dy skta hy amp na koi Tmhra RIZQ Km kr skta hy ,1,,
278,RAMZAN MA RIZAK WA EZAFA KA WAZIFA BTA DAIN JO JALADI KAM KRNA WALA HO,1,,
279,Good drama Subse acha kaam Kinza ne kya h uski Acting Yadgar rahi giLove Kinza,1,,
280,Ap aap sahi kaam ni kr rhi ha,2,,
281,High Court Ne Altaf Hussain K Khelaf Ghaddari K Muqadmay K Indraj K Liye Full Bench Tashkil Day Diya ,1,,
282,Un k vote elag hony chahiay,2,,
283,"Yaar, yaha raat ho rhi hai aur kal subha nao bajhay se pehlay kaalij ja na hai, to mein yahan puri raat nahi baat sakta 😆, baaral, bohoot hi accha kyaal hai he ye, khaas tor par hum ko faida hai jo yorup mein rehtay hai aur Urdu bolnay ka mauka mila ga to hum sekh saktay hai aapas se. Inshallah, aur aise cheesay kar na chaiye hai to Pakistan ki tehzeeb taraqi karay.",1,,
284,ye bandi bara kamal ke acting karte hain jis kerdar me hoti hain jaan dal dete hain,1,,
285,"""Veet Miss Pakistan"" ko b band kerwao",2,,
286,Marusi siast... ghulam ibne ghulam ki new type,2,,
287,Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,1,,
288, Malala Yousafzai ne Pakistan ke Foji jawanon se appeal ki ke agar humare Foji bhai humein tahafoz farahum karein to hum larkiyan apni darsgahon ko ja sakti hain,1,,
289,I think shah mehmood qureshi ki wjja s...en ko ticket ni mila,2,,
290,Huma aap khubsuret hain lke u,1,,
291,Saeed Anwar match winning innings khelne ki pori salahiyat rakhte the,1,,
292,Dariya e Kabul Me Selaab Ka Khatra ,2,,
293,Pakistan k by ghairat lentil hukmran,2,,
294,Pr Is Ki Ghair Mojudgi Tmam Chezon Ko Be Zaika Bna Deti Hy,2,,
295,Ayaz Sadiq K Bad Siddiq B Out N League Ka Teenon Halqon ,1,,
296,Kia kia ni krti he larkeya ...ufffffffff toba....,2,,
297,Aby jahail logo ye Islamabad ha,2,,
298, Awam nay inpar do martaba aitamad kartay hoye inhain muntakhab kia,1,,
299,Gilgit Me Tamam Taleemi Idarey Band Rahengy ,2,,
300,He has helped my knowledge of Islam a great deal. Allah bless him always. Would love more free lectures uploaded on YouTube ,1,,
301,Allah aap kee hifazat karey aameen,1,,
302,insay bara koi chor hai he nahe or ye PTI walay behas kartye he rahye gye,2,,
303,Main ne Imran ko bataya tha ke jab mere walid jogging ke liye jaya karte the to wo har din meri waldah ke liye phool laate the. ,1,,
304, Blkul ghlay koi jahil log he jnhe ye nai pta k ks janwr ko kis trah zibah krty hen or ye ount to mje murda lg rha tha zra sa b nhi hila....,2,,
305,"Koi bhi film sign karne se pehle tamam pehloun ka jaiyza longa, sirf aik film ke liye barson ka image to kharab nahi kar sakta",1,,
306,Begarat ka bacha,2,,
307,Yahan tak ke Helen Keller ke tajasus ki tasqeen ke liye Miss Salon ne Helen ki hatheli par ande se choza nikalne ka aamal tak mukamal karaya.,1,,
308, Major Muhammad  Akram Shaheed ko 19 May 1971 ko “Hili�?ke muqam par fire kar deya gaya,2,,
309,Wo logon ke sath khilwar nahi karte.,1,,
310,Lion of pakistan love u lala,1,,
311,ShUkar hai phli baar suchi bt ki tuny,1,,
312,Match ka maza aa gya tha,1,,
313,Awami Press Club Malir Ka 3 Din Soug Ka Elaan,2,,
314,Mera khayal tha k yeh bohat khaufzada karne wala tajurba ho ga aur main ne yeh bat Imran se bhi kit hi.,2,,
